Patch name 	Actin Time 	Cofilin Time 	Delay 	Cumulative Intensity Ratio
CY307_003_04c_2013_05_17	27.0	22.0	5.0	156.442603235
CY309_002_02b_2013_05_17	56.5	44.5	12.0	210.470834959
CY307_001_03a_2013_05_17	28.0			257.299631735
CY259_002_03a_2013_05_17	25.0	14.0	15.0	266.532212212
CY310_001_03a_2013_05_17	51.5	44.0	8.0	217.730885116
CY307_003_03d_2013_05_17	65.0	52.5	13.5	237.338569572
CY309_003_01a_2013_05_17	45.0	40.5	5.0	68.2968482858
CY308_004_02b_2013_05_17	91.0	69.5	18.0	287.589529661
CY310_003_03b_2013_05_17	32.0	22.0	13.0	119.111616664
CY309_003_02b_2013_05_17	59.5	45.0	14.0	279.091392063
CY308_004_01a_2013_05_17	50.5	39.0	11.0	103.102544814
CY309_004_01a_2013_05_17	48.5	30.5	18.5	277.764212979
CY308_003_01c_2013_05_17	45.5	30.0	7.0	146.785415691
CY308_001_01b_2013_05_17	46.0	34.5	9.5	-25.9064160995
CY307_001_03c_2013_05_17	48.5	66.5	-1.5	-371.729012403
CY259_002_01a_2013_05_17	18.5	14.0	4.0	27.5977614432
CY309_005_02a_2013_05_17	53.5			249.633991691
CY310_002_02b_2013_05_17	39.0	15.5	23.0	362.225008365
CY307_004_01a_2013_05_17	33.5	26.0	7.0	198.685470528
CY309_004_03b_2013_05_17	52.5	28.0	25.0	252.225055885
CY308_005_02a_2013_05_17	80.5	78.5	4.5	-19.7663022841
CY310_004_04a_2013_05_17	40.5	30.5	11.5	174.029080968
CY259_003_01a_2013_05_17	31.5	55.5	-3.0	-115.498464483
CY308_004_02a_2013_05_17	125.5			328.450949154
CY310_004_02a_2013_05_17	95.0	66.0	16.5	242.280716949
CY309_004_01c_2013_05_17	30.0	10.0	11.5	111.479006034
CY308_001_01e_2013_05_17	38.5	38.5	5.0	-26.3432535788
CY308_001_01d_2013_05_17	40.5	40.5	4.0	-569.635413676
CY307_003_04a_2013_05_17	41.0	35.5	5.5	115.238202444
CY307_001_01a_2013_05_17	49.0			262.084592553
CY308_005_01b_2013_05_17	115.5	100.5	18.5	158.391589561
CY310_003_01b_2013_05_17	45.0	50.5	-4.5	114.641588246
CY309_004_02b_2013_05_17	75.5	69.0	8.5	241.420152008
CY259_002_02a_2013_05_17	32.5			325.781023017
CY308_001_01c_2013_05_17	70.0	86.5	-9.0	-483.03092329
CY308_005_02c_2013_05_17	39.0	33.5	6.5	194.712810899
CY310_003_02a_2013_05_17	55.0	38.5	16.0	170.87752518
CY310_004_01a_2013_05_17	74.5	38.0	26.5	243.907271669
CY307_003_03c_2013_05_17	23.0			251.812615702
CY309_005_01b_2013_05_17	15.5	11.0	0.0	233.614068898
CY310_003_01a_2013_05_17	53.0	49.5	9.0	161.427836083
CY307_001_04a_2013_05_17	43.0	45.5	4.5	152.39911891
CY307_002_03a_2013_05_17	48.5	31.0	18.5	217.833738186
CY310_001_01a_2013_05_17	59.5	30.0	20.0	200.522423589
CY310_005_02b_2013_05_17	75.0	29.0	11.0	209.206258936
CY309_005_02b_2013_05_17	47.0	22.0	19.5	268.011279221
CY309_004_02c_2013_05_17	23.5	16.5	10.0	332.889807838
CY309_003_01b_2013_05_17	58.5	54.0	8.5	215.607227895
CY309_002_02a_2013_05_17	80.5			222.857812609
CY309_001_01c_2013_05_17	44.0	30.5	14.0	147.170473973
CY309_004_03a_2013_05_17	45.5			278.136329019
CY309_004_01d_2013_05_17	55.0	46.0	3.0	339.628951319
CY309_005_03a_2013_05_17	72.0			241.142146854
CY259_003_02a_2013_05_17	30.5	26.5	10.0	167.080592333
CY308_005_01a_2013_05_17	68.0	71.5	4.0	74.5623437689
CY309_001_01a_2013_05_17	59.5	26.5	13.5	181.578346332
CY307_003_03b_2013_05_17	39.5	29.0	7.0	242.63786062
CY307_002_02a_2013_05_17	66.5	58.0	4.5	268.760997562
CY310_001_04a_2013_05_17	48.5			285.241239714
CY307_004_02d_2013_05_17	48.0	31.5	15.5	259.769407969
CY309_003_01c_2013_05_17	47.0	44.0	2.5	-69.1308228899
CY307_003_03e_2013_05_17	86.5	72.0	12.0	253.512741237
CY310_004_03a_2013_05_17	45.0	35.5	8.0	29.6932040326
CY310_002_02a_2013_05_17	65.0	30.0	36.0	274.65125155
CY307_004_02c_2013_05_17	21.5	16.5	5.0	67.2844591873
CY303_001_07a_2013_09_13	40.5	33.0	6.5	273.904957229
CY4_pCE206_002_03a_2013_09_13	2.0	21.0	-12.5	-2545.21095557
CY17_002_01a_2013_09_13	29.5			276.894862945
CY305_001_01a_2013_09_13	20.0	22.0	3.5	166.77733355
CY4_pCE206_001_06a_2013_09_13	1.0	22.5	7.5	190.662036203
CY4_pCE206_001_02a_2013_09_13	3.0	22.0	-9.5	-1476.46849791
CY304_001_01b_2013_09_13	35.0	13.0	22.5	349.124426207
CY17_001_02a_2013_09_13	20.0			296.462383572
CY4_pCE206_003_05a_2013_09_13	6.0	14.0	-8.0	-1881.97304546
CY304_001_03c_2013_09_13	37.0	43.0	0.5	-25.8242389747
CY17_003_03a_2013_09_13	16.5			323.095152801
CY304_002_01a_2013_09_13	97.0	64.5	28.0	242.815500843
CY304_001_03a_2013_09_13	20.5	22.5	2.0	-285.815131018
CY17_003_04a_2013_09_13	19.0			230.355333202
CY4_pCE206_002_02a_2013_09_13	4.0			369.634717378
CY4_pCE206_001_04a_2013_09_13	2.0	24.0	0.0	-656.659589235
CY303_001_05a_2013_09_13	24.0	15.5	7.5	240.691021579
CY17_003_03b_2013_09_13	18.0			299.458124018
CY305_001_02b_2013_09_13	79.5	76.0	7.0	123.18054591
CY4_pCE206_001_01a_2013_09_13	1.0	41.5	-51.0	467.462157818
CY4_pCE206_003_04a_2013_09_13	4.5	13.5	-14.5	141.455376407
CY305_001_02a_2013_09_13	38.0	29.5	13.0	139.695298576
CY303_001_01a_2013_09_13	33.5	20.0	18.5	223.209732363
CY4_pCE206_002_06a_2013_09_13	1.0	12.0	-10.5	-506.847352756
CY303_001_02a_2013_09_13	24.5	11.0	12.0	305.716352196
CY17_002_02a_2013_09_13	19.5			333.379200579
CY4_pCE206_002_04b_2013_09_13	5.5	24.0	-17.0	-413.857290502
CY304_003_01a_2013_09_13	30.0	17.5	9.5	105.829585953
CY259_001_01a_2013_09_13	25.0	20.0	4.5	258.054090493
CY17_002_05b_2013_09_13	24.0			294.764785209
CY282_001_02a_2013_09_13	23.5	21.5	4.0	262.704310552
CY259_001_02d_2013_09_13	41.5	24.0	10.5	248.256125333
CY282_001_01a_2013_09_13	38.0	25.5	10.0	143.227533827
CY282_001_03a_2013_09_13	27.5	9.5	16.5	171.691342084
CY282_001_01b_2013_09_13	31.5	21.5	10.0	157.832806278
CY304_001_01a_2013_09_13	44.0	20.5	15.5	305.690618632
CY259_001_03a_2013_09_13	25.0	17.5	6.5	97.4238285059
CY4_pCE206_003_02a_2013_09_13	2.5	15.5	6.0	194.324732293
CY17_002_04a_2013_09_13	19.5			350.688367971
CY17_003_02a_2013_09_13	20.5			284.484583356
CY303_001_04a_2013_09_13	25.0	39.0	1.5	-85.5696284135
CY4_pCE206_004_01a_2013_09_13	2.0			-3552.74624816
CY4_pCE206_003_03b_2013_09_13	4.0	29.0	-35.0	197.175022709
CY17_004_02a_2013_09_13	19.0			257.502974443
CY259_001_02a_2013_09_13	18.5	14.0	6.5	40.7937803789
